Cler_surn	Cler_fore
Alexander	Josephus
Alexander	Leonardus
Alexander	Mattheus
Alexander	Matthias
Alexander	Mauritius
Alexander	Michael
Alexander	Philipps
Alexander	Richardus
Alexander	Robert
Alexander	Robertus
Alexander	Thomas
Alexander	William
Aley	Thomas
Aleyn	Egidius
Aleyn	Robertus
Aleyn	Thomas
Aleyn	Thome
Aleyne	Carolus
Aleyne	Johannes
Alfeild	Ricardus
Alfeilde	Robertus
Alfield	Ambrosius
Alfild	Robert
Alford	Charal?
Alford	Charles
Alford	George
Alford	Georgius
Alford	Henry
Alford	Jeremais
Alford	Johannes
Alford	John
Alford	Melchisedec
Alford	Robert
Alford	Robertus
Alford	Samuel
Alford	Theophilus
Alford	Thomas
Alford	Walter
Alford	Willimus
Alforde	Charolus
Alforde	Francis
Alforde	Georgius
Alforde	Johannes
Alfounder	Robertus
Alfraye	Franciscus
Alfrey	Henricus
Alfrey	Mickefeare
Algar	Joseph
Algar	Nathaniel
Algar	Thomas
Alger	Daniel
Algood	Bartholomeus
Algood	Jacobus
Alhow	John
Alikin	Sampson
Alington	Henry
Alington	John
Alington	Marmaduke
Alington	Richard Pye
Alington	William
Alington alias Allington	John
Alington alias Allington	Robert
Alisbury	Thomas
Alison	Archibald
Alison	Richardus
Alison	Willelmus
Alix	Petrus
Alker	Herbert
Alkin	Simon
Alkin	Thomas
Alkin	Thomas Verrier
Alkinson	Henry Arthur
Allain	Henrico
Allain	Henricus
Allam	Johannes
Allambridge	Johannes
Allambrigge	Johannes
Allambrigge	John
Allan	Edwardus
Allan	George
Allan	Hugh
Allan	Johannes
Allanbie	Robertus
Allanby	Christopher
Allanby	John
Allane	Andreas
Allanson	Cuthbert
Allanson	Dennis
Allanson	Eduardus
Allanson	Edvardus
Allanson	George
Allanson	Johannes
Allanson	Josephus
Allanson	Robertus
Allanson	Thomas
Allanson	William
Allason	Johannes
Allat	Robertus
Allatson	Willimus
Allaway	Edwardus
Allbutt	Thomas
Allcock	Johannes
Allcocke	Sursl**us
Allcroft	William Rowley
Alldrege	Ricardus
Alldwyn	Antonius
Alle	William
Alle	Willimus
Allein	Richard
Alleine	Jonan
Alleine	Jonathan
Alleley	Jacobus
Allen	Abraham
Allen	Abrahamus
Allen	Alexander
Allen	Alexandrus
Allen	Bennett
Allen	blank
Allen	Charles
Allen	Charles J.
Allen	Charles Jeffery
Allen	Charles Jefferys
Allen	Cuth
Allen	Cuthbert
Allen	Cuthbert
Allen	Cuthbertus
Allen	David
Allen	David Bird
Allen	Davidus
Allen	Ebenezer Brown
Allen	Edmund
Allen	Edmundus
Allen	Edward
Allen	Edward Thomas
Allen	Edwardus
Allen	Egidius
Allen	Elnathanus
Allen	Fified
Allen	Fifield
Allen	Francis
Allen	Franciscus
Allen	George
Allen	Georgius
Allen	Gilbertus
Allen	Gilielmus
Allen	Gualterus
Allen	Guilielmus
Allen	Gulielmo
Allen	Gulielmus
Allen	Henricus
Allen	Henry
Allen	Henry Thomas
Allen	Hollyer
Allen	Hugh
Allen	Humphrey
Allen	Isaacus
Allen	Jacobus
Allen	James
Allen	James Thomas
Allen	Jeremia
Allen	Johannes
Allen	Johanni
Allen	John
Allen	John Francis
Allen	John Henry Thomas
Allen	John Taylor
Allen	John Towers
Allen	John Ward
Allen	Jonathan
Allen	Joseph
Allen	Josephus
Allen	Joshua
Allen	Jude
Allen	Loder
Allen	Matheus
Allen	Mathew
Allen	Mattheus
Allen	Matthew
Allen	not given
Allen	Petrus
Allen	Richard
Allen	Richardus
Allen	Ricus
Allen	Robert
Allen	Robert Pinhorn
Allen	Robertus
Allen	Samuel
Allen	Samuel James
Allen	Stephen
Allen	Thomas
Allen	Thomas Dawson
Allen	Thomas Edward
Allen	Thomas Lingen
Allen	Timothy
Allen	Walter
Allen	Walterus
Allen	Wilhelmus
Allen	William
Allen	William Birkett
Allen	William Jefferys
Allen	William Maxey
Allen	William Narey
Allen	Williams
Allen	Willimus
Allen	Wm
Allenbie	Robertus
Allenby	John
Allendon	Edward
Allens	Hugo
Allenson	Allen
Allenson	Edward
Allenson	Gilbert
Allenson	Jacobus
Allenson	Johannes
Allenson	Marmaducus
Allenson	Robertus
Allenson	Steven
Allenson	Thomas
Allerdice	David
Allershaw	Richard
Allerton	Edwardus
Allerton	Johannes
Allerton	Johes
Allerton	William
Allerton	Willimus
Alleson	Gulielmus
Alleson	James
Allestre	Richard
Allestre	Thomas
Allestree	Carolus
Allestree	Robert
Allestree	Thomas
Allestrey	Richard
Allestrie	Richardus
Allestry	Thomas
Allet	Bryan
Allet	James
Allett	James
Allett	Johannes
Allett	Richard
Alley	Heronimus
Alley	Jerome
Alley	Matthew
Alley	Roger
Alley	Rogerus
Alley	Stephen
Alley	William
Alleye	Matheus
Alleye	Rogerus
Alleyn	Abrahamus
Alleyn	Carolus
Alleyn	Egidius
Alleyn	George
Alleyn	Henricus
Alleyn	Jacobus
Alleyn	James
Alleyn	Johannes
Alleyn	John
Alleyn	Richard
Alleyn	Simon
Alleyn	Thomas
Alleyn alias Allyn	Henry
Alleyne	John
Alleyne	John Forster
Alleyne	Ricardus
Alleyne	Richard
Alleyne	Richardus
Alleyne	Thomas
Alleyne Barker	William
Allfield	William
Allford	Franciscus
Allforde	Willimus
Allfree	Edward
Allfree	Edward Mott
Allfree	Edwd Mott
Allfree	Fred Chas
Allgood	Bartholomeus
Allgood	Bartholomew
Allgood	James
Allgood	Major
Allibond	Johannes
Allibone	Peter
Allicock	Gualterus
Allicocke	Gualterus
Allicocke	Walter
Allies	Thomas
Allin	Ashurst
Allin	Henricus
Allin	Richardus
Allin	Robertus
Allin	Thomas
Allin	William
Alline	Thomas
Allington	Henry
Allington	Johannes
Allington	John
Allington	Robertus
Allington	William
Allinson	Edward
Allinson	Isaac
Allinson	James
Allinson	Johannes
Allinson	John
Allinson	Robert
Allinson	Robertus
Allis	Robert
Allison	Archibald
Allison	Edwardus
Allison	James
Allison	Johannes
Allison	John
Allison	Petrus
Allison	Riceus
Allison	Richard
Allison	Richardus
Allison	William
Allix	Peter
Allix	Petro
Allix	Petrus
Allix	Richard  Wager
Allix	Richard wager
Allkin	Herbert
Allmark	Ricardus
Allmett	Christopherus
Allmond	Edwardus
Allon	Samuel
Allon	Samueli
Allonby	John
Allot	James
Allotson	Willimus
Allott	Bryan
Allott	Francis
Allott	George
Allott	James
Allott	John
Allott	Robert
Allott	Roberto
Allott	Robertus
Allport	Josiah
Allread	Johannes
Allredd	John
Allrede	Christoferus
Allrick	John
Allridde	Johannes
Allsopp	Charles
Allsopp	Christoforus
Allsopp	John
Allsopp	Nicholas
Allsopp	Thomas
Allsopp	Will Browne
Allsoppe	Christoferus
Allsoppe	Robert
Allsoppe	William
Allway	Samuel
Allwaye	Edwardus
Allwin	Robertus
Allwin	Robtus
Allwood	John
Allwood	Philip
Allwood	Robert
Allwoode	John
Allworth	Richard
Allyn	James
Allyn	Johannes
Allyn	Ricardus
Allyn	Stephanus
Allyne	Thomas
Allyson	Richard
Allyson	Richardus
Alman	Gulielmus
Alman	illegible
Alman	Libertus
Almasi	Petrus
Almer	Johannes
Almond	Antonio
Almond	Antonius
Almond	Carolus
Almond	Edwardus
Almond	George
Almond	Richardus
Almond	Robert White
Almond	Theophilus
Almond	Willimus
Almonson	William
Almont	Robertus
Alner	William
Alnott	Christoforus
Alnwick	Amos
Alnwick	Arthurus
Aloes	Stephanus
Aloid	Thomas
Alpe	Philip
Alphery	Michaelus
Alport	Edward
Alreade	Willimus
Alred	George
Alred	Jacobus
Alred	Jeremias
Alredd	John
Alredde	Henricus
Alrede	Georgius
Alrede	Johannes
Alrede	John
Alridge	Reginaldus
Alridge	William
Alridge	Willielmus
Alsager	Samuel
Alsey	William
Alsop	Anthonius
Alsop	Christopher
Alsop	Francis
Alsop	George
Alsop	Georgius
Alsop	Gulielmus
Alsop	Gulielmus Brown
Alsop	Henry
Alsop	Johannes
Alsop	John
Alsop	Josia
Alsop	Josias
Alsop	Richard
Alsop	Samuel
Alsop	Thomas
Alsop	William
Alsope	Johannes
Alsopp	Christoperus
Alsopp	Francis
Alsopp	George
Alsopp	Georgio
Alsopp	Georgius
Alsopp	Henricus
Alsopp	Johannes
Alsopp	John
Alsopp	Nathanielis
Alsopp	Samuel
Alsopp	Samuelus
Alsopp	Thomas
Alston	Carolus
Alston	Charles
Alston	Charles William Horace
Alston	Edvardus
Alston	Edwardus
Alston	Gulielmus
Alston	Jarolus
Alston	John Vere
Alston	Lambertus
Alston	Philip
Alston	Samuel
Alston	Vere
Alston	Vere John
Alston	William
Alstone	Edrus
Alstone	Johannes
Alsworth	Richardo
Alt	Just
Alt	Just Henry
Alt	William
Altham	Isaac
Altham	Jacobus
Altham	James
Altham	Michael
Altham	Michaell
Altham	Roger
Altham	Rogerus
Altham	Thomas
Althin	Johannes
Althorn	Rogerus
Althorne	Carolus
Althorp	Robertus
Althorpe	Robertus
Althow	Christopherus
Alton	Stephanus
Alured	Beniaminus
Alvered	William
Alvey	Arthur
Alvey	Arthurus
Alvey	Richard
Alvey	Robert
Alvey	Stephanus
Alvey	Yeldardus
Alveye	Richard
Alvis	Andrew
Alvis	John Serjeant
Alward	Henry
Alway	Samuel
Alworth	Robert
Alyin	Thomas
Alyn	Martinus
Alyn	Robertus
Alyson	Johannes
Amadas	Richard
Amand	William
Ambler	Brian
Ambler	Brianus
Ambler	George
Ambler	Johannes
Ambler	John
Ambler	Richard
