Cler_surn	Cler_fore
Allen	Abraham
Allen	Abrahamus
Allen	Abrahmaus
Allen	Abrus
Allen	Alexander
Allen	BLANK
Allen	Charles
Allen	Christoferus
Allen	Cuthbertus
Allen	David
Allen	Edmundus
Allen	Edward
Allen	Edwardus
Allen	Egidius
Allen	Elnathanus
Allen	Francis
Allen	George
Allen	Georgius
Allen	Gilbertus
Allen	Giles
Allen	Guilielmus
Allen	Gulielmus
Allen	Henericus
Allen	Henricus
Allen	Henry
Allen	Isaak
Allen	Isack
Allen	J
Allen	James
Allen	Jerem
Allen	Jerem (sic)
Allen	Jeremias
Allen	Jeremy
Allen	Joannes
Allen	Johannes
Allen	Johes
Allen	John
Allen	John Ward
Allen	John Warde
Allen	Jonathan
Allen	Joseph
Allen	Josephus
Allen	Josias
Allen	Lemuel
Allen	matheus
Allen	Nicholas
Allen	Nicholaus
Allen	not given
Allen	Peter
Allen	Petrus
Allen	Radulph
Allen	Radulphus
Allen	Ricardus
Allen	Richard
Allen	Richardus
Allen	Robert
Allen	Robertus
Allen	Rowland
Allen	Rowlands
Allen	Rowlandus
Allen	Ryc
Allen	Samuel
Allen	Stephen
Allen	T.
Allen	Thomas
Allen	Timothy
Allen	unknown
Allen	Walter
Allen	Wilhelmus
Allen	William
Allen	Williams
Allen	Willus
Allen	[blank]
Allenby	Robertus
Allens	Hugh
Allenson	Johannes
Allenson	John
Allenson	John
Allenson	Steven
Allenson	unknown
Allerdice	David
Allerton	John
Allerton	William
Allestree	Thomas
Allestry	Thomas
Allett	Johannes
Allett	John
Allett	Richard
Allexander	Richard
Alley	Stephanus
Alley	Stephen
Alley	William
Alleyn	Edward
Alleyn	James
Alleyn	John
Alleyn	Mathias
Alleyn	Robert
Alleyn	Thomas
Alleyne	Richard
Allford	Johannes
Allford	not given
Allfors	Franciscus
Allforth	Willelmus
Allfounder	unknown
Allgood	Jacobus
Allgood	James
Alliband	Johannes
Allibone	Peter
Allie	Willelmus
Allin	blank
Allin	George
Allin	Richardus
Allin	Thomas
Allin	William
Allington	blank
Allington	Johannes
Allington	John
Allington	John
Allington	unknown
Allins	not given
Allinson	Johes
Allinson	Robert
Allinson	Willimus
Allisibrooke	Thomas
Allison	BLANK
Allison	Edwardus
Allison	Johannes
Allison	Johannes
Allison	John
Allison	Richard
Allison	Robert
Allison	Robertus
Allison	Thomas
Allisone	Richard
Allisoun	John
Alliston	Not Given
Allix	unknown
Alllestry	Richard
Allow	William
Alloway	Edward
Alloway	Walter
Allred	Edmundus
Allsapp	William
Allshier	John
Allsion	Richard
Allsop	Francis
Allsope	William
Allsopp	John
Allsoppe	Humfrey
Allsoppe	Richard
Allsoppe	William
Allston	Not Given
Allsup	not given
Allwaye	Richardus
Allwell	Thomas
Allwin	Robertus
Allwin	Robtus
Allwood	John
Allybone	Robertus
Allyley	not given
Allyn	
Allyn	John
Allyn	Richard
Allyn	Robert
Allyn	unknown
Allyn	[blank]
Allynsone	Thomas
Allyson	unknown
Allyson	William
Almaine	William
Alman	BLANK
Alman	Gulielmus
Alman	William
Almanson	Wilhelmus
Almond	Barthus
Almond	Carolus
Almond	Edward
Almond	Georgius
Almond	Joannes
Almond	Richardus
Almond	Theophilus
Almonde	Joannes
Almonde	Johes
Almonde	William
Almonson	Wilhelmus
Almont	blank
Almont	Roger
Almsebrooke	Thomas
Alner	blank
Alner	William
Alnott	Christopher
Alnwick	Amon
